Mural Panel,Chapter,Mural Scene,Sun of Faith - Tibetan (བོད་ཡིག།),Sun of Faith - English,Inscription - Tibetan (བོད་ཡིག།) ,Inscription - English,Manual (བྲིས་ཡིག།) - Tibetan (བོད་ཡིག།),Manual - English,Main Canonical Source (sde dge bka' 'gyur),Secondary/Tertiary Canonical Source(s) (sde dge bka' 'gyur),Scene working notes
2,26,5,།དེ་ནས་ཆུ་ཀླུང་ནཻ་རཱཉྫ་ནའི་འགྲམ་དུ་གཤེགས་ཏེ་ཞལ་ཟས་ཀྱི་བྱ་བ་མཛད་དོ།,"Then he went to the bank of the River Nairanjana, and he ate the food.",,,,,37a.2,,
2,26,5,།སྦྲང་རྩི་དག་ལྡེ་གུ་ནི་རླུང་ནང་སློང་བས། དེའི་རྗེས་སུ་དེ་བཞིན་གཤེགས་པ་ཅུང་ཟད་སྐུ་སྙུང་བར་གྱུར་བ་ན། བདུད་སྡིག་ཅན་འོངས་ཏེ་མྱ་ངན་ལས་འདའ་བར་གསོལ་བ་བཏབ་པ་ན།,The honey porridge stirred up his inner winds and the Thus Gone One was slightly sickened. Wicked Mara came and implored him to pass away.,,,,,37a.2-4,,
2,26,5,ངས་འཁོར་རྣམ་པ་བཞི་མ་བསྟེན་ཞིང་ཚངས་པར་སྤྱོད་པའི་ལམ་སྐྱེ་བོ་རྣམས་ལ་མ་བསྟན་གྱི་བར་དུ་མྱ་ངན་ལས་མི་འདའོ་ཞེས་གསུངས་པས། བདུད་ཡིད་མི་བདེ་བས་མི་སྣང་བར་གྱུར་ཏོ།,"“I will not pass away until the four communities are established, and until the path of pure conduct is taught to people,” said the Buddha. Mara was not happy, so he disappeared.",,,,,37a.4-7,,
2,26,6,།དེའི་འོག་ཏུ་ལྷའི་དབང་པོ་བརྒྱ་བྱིན་གྱིས་ཤིང་ཛམྦུའི་ཚལ་ནས་སྨན་གྱི་མཆོག་ཨ་རུ་ར་བླངས་ཏེ། དེ་བཞིན་གཤེགས་པ་ལ་ཕུལ་ཞིང་གསོལ་བས་དེ་མ་ཐག་བསྙུན་ཞི་ཞིང་། ཤིན་ཏུ་བཟོད་ལ་ལྷག་པར་འཚོ་བར་གྱུར་ཏོ། ,"Then Indra took the great medicine Arura from the Jambu tree forest, and offered it to the Thus Gone One. As soon as he ate it, the illness cleared away, his stamina increased, and he recovered.",རྒྱ་བྱིན་གྱིས་ཨ་རུ་ར་འབུལ་བ་,Indra offers Arura,ཡང་བརྒྱ་བྱིན་གྱི་ཨ་རུ་ར་ཕུལ་བ་དང་། ཕྱོགས་གཅིག་ན་བདུད་ཀྱི་ཐལ་མོ་སྦྱར་བ་འབྲི། ,"Indra's offering of arura [myrobalan] and, off to one side the Demon's folding of hands in prayer. ",37a.7-37b.4,,
2,26,6,།དེ་ནས་བདུན་ཕྲག་བཞི་པ་ལ་བབ་པ་ན། གློ་བུར་དུ་སྤྲིན་ཆགས་ཏེ་ཡུལ་ངན་བྱུང་བ་ན།,"Then in the fourth week, a rain suddenly fell, and a storm arose.",,,,,37b.4-37b.7,,
2,26,6,ཀླུའི་རྒྱལ་པོ་བཏང་བཟུང་གི་གནས་སུ་གཤེགས་ཏེ་རླུང་ལ་སོགས་པས་སྐུ་ལ་མི་གནོད་པའི་ཕྱིར་ཀླུ་དེ་རྣམས་རང་གི་ལུས་ཀྱིས་བཅོམ་ལྡན་འདས་ཀྱི་སྐུ་ལ་དཀྲིས་ཤིང་གདེངས་ཀ་བྱས་ཏེ་འདུག་གོ,"The Buddha went to the abode of the Serpent King Mucilinda. So that the wind and such would not harm his body, the serpents wrapped around the Blessed One's body, and made a canopy of snakes.",,,དེ་ནས་ཆུའི་ནང་ཀླུ་བཏང་བཟུང་གི་ཕོ་བྲང་དུ་བྱོན་ཞིང་། སྦྲུལ་གྱི་ [046.tif] གདེང་ཀ་བྱས་པ་དང་། ཀླུ་དེ་རྣམས་ལ་ཆོས་གསུང་པ་དང་། ཡང་བྱང་ཆུབ་ཤིང་གི་རྩ་བར་རྩའི་གདན་ལ་མཉམ་བཞག་མཛད་པ་སྟེ། དེ་དག་ཀྱང་སྤྱི་དང་འདྲ། མངོན་པར་བྱང་ཆུབ་པའི་སྐོར་རོ། །,"Then [draw] [the Buddha] going to the palace of Naga Mucilinda, the serpents's making of the expanded snake head, and teaching the Dharma to the serpents, and again in contemplation on a grass seet at the foot of the Bodhi Tree. [Draw] these as is common. The section on the manifest enlightenment.",37b.4-37b.7,,
2,26,7,།དེ་ནས་ཡུལ་ངན་སངས་པ་ན་ལྷའི་ལུས་སུ་བསྒྱུར་ཞིང་གུས་པས་བཏུད་ནས་བསྒྱུན་གསོལ་བར་བྱེད་པ་ལ་དབེན་པའི་དགའ་བདེ་ལས་བརྩམས་ཏེ་ཆོས་སྟོན་པར་མཛད་དོ།,"Then the storm abated. The serpents changed into the bodies of gods. They faithfully bowed and asked after his health. [The Buddha] taught them the dharma, beginning with the joys of solitude.","ཀླུའི་རྒྱལ་པོ་བཏང་བཟང་གི་གནས་སུ་ཆོས་སྟོན་པ་
",[Buddha] teaches Dharma in realm of Serpent King Mucilinda.,,,37b.7-38a.4,,
2,26,7,།དེ་ནས་བདུན་ཕྲག་ལྔ་པ་ལ་བབ་པ་ན་བྱང་ཆུབ་སྙིང་པོར་གཤེགས་ཏེ་རྟེན་འབྲེལ་བཅུ་གཉིས་ཀྱི་དོན་ལ་དགོངས་བཞིན་དུ་ཞག་བདུན་སྐྱིལ་ཀྲུང་གཅིག་གིས་འདའ་བར་མཛད་ནས་ཏིང་ངེ་འཛིན་དེ་ལས་བཞེངས་ཏེ། ཆེད་དུ་བརྗོད་པའང་མཛད་དོ།,"Then in the fifth week the Buddha went to Bodhimanda, according to his knowledge of the twelve-fold dependent arising, for a week he sat cross-legged. Then he arose from his contemplative absorption, and he made a solemn utterance.",,,,,,,
2,26,7,།དེ་ནས་བདུན་ཕྲག་དྲུག་པའི་དུས་ལ་བབ་པ་ན། བདག་གིས་རྟོགས་པའི་ཆོས་ཟབ་མོ་འདི་ནི་གཞན་གྱིས་ཁོང་དུ་ཆུད་པར་དཀའ་སྟེ། གལ་ཏེ་བདག་གིས་གཞན་ལ་བསྟན་པར་གྱུར་ཀྱང་དེས་མི་རྟོགས་པས་བདག་ཉིད་དུབ་པ་ཙམ་དུ་ཟད་ཀྱི། དེ་བས་ན་བདག་གཅིག་པུ་དགོན་པར་གནས་པར་བྱའོ་སྙམ་དུ་དགོངས་ཏེ,"Then in the sixth week, the Buddha thought, “It will be difficult for others to understand this profound dharma that I have realized. Even if I were to teach it to others, because they have not realized it, it will only fatigue them. So I will live in solitude.”",,,,,,,
2,26,8,ཐུགས་ལས་ཆུང་ངུར་བཞུགས་སོ། །,"And so he stayed, doing very little.",ཐུགས་ཆུང་ངུར་མཛད་ནས་བཞུགས་པ་,Residing doing very little.,,,,,
